segment,sub_sector,organisatie,url_homepage,url_support,url_product,url_support_method,url_support_score,url_support_note
Financiele sector,Crypto,Bitvavo,https://bitvavo.com/nl,https://support.bitvavo.com/hc/nl,,heuristic,9,"linktekst: ""Support"""
Financiele sector,Crypto,Coinmerce,https://coinmerce.io/nl/,https://support.coinmerce.io/nl/,,llm,0,Het Helpcentrum is de dedicated support-/hulpsectie waar instructie- en uitlegvideo's te verwachten zijn.
Financiele sector,Crypto,Blox,https://weareblox.com/nl-nl,https://support.weareblox.com/hc/nl,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Financiele sector,Crypto,Finst,https://finst.com/nl,https://help.finst.com/nl/,,heuristic,8,"linktekst: ""Help"""
Financiele sector,Lease bedrijven,Ayvens,https://www.ayvens.com/nl-nl/,https://www.ayvens.com/nl-nl/service-en-contact/,,heuristic,8,"linktekst: ""Zelf regelen & hulp"""
Financiele sector,Lease bedrijven,Volkswagen Pon Financial Services,https://www.poncenter.nl/private-lease,https://www.poncenter.nl/elektrisch-rijden/veelgestelde-vragen,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Financiele sector,Lease bedrijven,International Car Lease Holding,https://www.vanmossel.nl/privelease/,https://www.vanmossel.nl/privelease/contact/veelgestelde-vragen/,,heuristic,7,"linktekst: ""Veelgestelde vragen"""
Financiele sector,Lease bedrijven,Athlon,https://www.athlon.com/nl/,https://www.athlon.com/nl/contact/,,heuristic,10,"linktekst: ""Klantenservice"""
Financiele sector,Lease bedrijven,BMW Financial Services/Alphabet,https://www.alphabet.com/nl-nl.html,https://ontdek.alphabet.com/aanvraag/contact-klant,,llm,0,"Dit is het klantcontact-/supportkanaal voor bestaande klanten; geen dedicated FAQ/instructievideo-sectie aanwezig, dus dit is de meest support-gerichte optie."
Financiele sector,Lease bedrijven,Hiltermann Lease,https://www.hiltermannlease.nl/autolease/private-lease,https://www.hiltermannlease.nl/service-contact?category=operational+lease,,heuristic,7,"linktekst: ""Bekijk alle veelgestelde vragen"""
Financiele sector,Lease bedrijven,Arval | Justlease,https://justlease.nl/aanbod,https://justlease.nl/klantenservice/privacy-en-cookieverklaring/,,heuristic,10,"linktekst: ""privacy- en cookieverklaring"""
Financiele sector,Lease bedrijven,Mercedes-Benz Financial Services,https://www.mercedes-benz.nl/,https://www.mercedes-benz.nl/passengercars/services/support-contact.html,,heuristic,9,"linktekst: ""Support en contact"""
Financiele sector,Lease bedrijven,Toyota Louwman Financial Services,https://www.louwman.nl/leasen/private-lease,https://www.louwman.nl/veelgestelde-vragen,,heuristic,8,"linktekst: ""Hulp"""
Financiele sector,Lease bedrijven,Stellantis Financial Services,https://www.stellantis-financialservices.nl/,https://www.stellantis-financialservices.nl/contact,,llm,0,Enige service/support-gerichte pagina ('Service en Contact'); geen aparte FAQ/help-sectie aanwezig.
